,user_degree,avg_pop_choice,avg_aud_omni
richardalp,2.0,4295.5,23.83596710647798
Bo-M,2.0,2647.0,25.120825694958135
thalled,26.0,1937.8461538461538,25.983569057606424
Deadass3000,1.0,737.0,23.578018995929444
antonio-pena,3.0,6818.666666666667,21.423652139600488
Dominaeon,32.0,1646.65625,27.66606443386124
PROGTROL,2.0,3668.5,28.27332796631162
girlofglass91,1.0,7093.0,21.984350768363175
panda4king,3.0,9487.333333333334,22.107133356790303
IgLz,6.0,1719.5,23.342787103584367
Sapochka,29.0,2469.310344827586,26.99461657427244
draconia6667,9.0,3142.777777777778,27.887226606335005
Coremind,46.0,2584.6521739130435,27.281172711277986
alicson,10.0,2584.9,23.372710042897147
RottingCarcass,1.0,2729.0,27.676438255771345
Hypatian,17.0,2390.6470588235293,26.618413194594297
martatops,1.0,8440.0,23.427251184834123
iCandyGurl,25.0,3307.32,24.51132370030455
dspro0il,11.0,2571.4545454545455,26.890466197014597
dr-nick-riviera,2.0,4144.5,26.03704430575513
d2602v,2.0,2289.5,27.17612286716769
ppslayer,7.0,3859.714285714286,26.365061289044004
A7fn8-9hD_h,2.0,5887.0,25.73717088335887
TheBlackRose,2.0,3667.0,26.17744440492993
nchantedbiscuit,3.0,3539.6666666666665,27.80626345339748
IJessikinhaI,1.0,281.0,19.939501779359432
norling,31.0,3310.7741935483873,25.857600901454262
miroyashaa,3.0,3591.6666666666665,23.914310646856496
jspam,1.0,5784.0,22.434895383019196
Korpsefvkker,15.0,2005.9333333333334,27.94125142412835
Hamlet7768,3.0,3894.3333333333335,24.58842824305052
yanaplukhaeva,1.0,7093.0,21.984350768363175
tomsludge,17.0,2022.6470588235295,27.67575324575792
93octane,9.0,2308.6666666666665,27.014286615925506
northern__light,9.0,6072.666666666667,26.026425854988755
Kicki68,42.0,3830.214285714286,25.91108415722595
syrup_k,4.0,3749.75,22.91353993840637
kauealencar123,14.0,4144.785714285715,27.037641395068153
tom_cusack,5.0,7232.4,23.0743091168805
wajabelno,5.0,5640.8,24.75099925395414
Haruwo70,44.0,2429.159090909091,27.12256786299906
StrozeR,26.0,3139.3076923076924,25.353018373558868
Eye_hategod,4.0,1393.5,26.56574694834006
elrohircarnesir,36.0,3236.4444444444443,25.347265415368227
Freshmob,46.0,2661.608695652174,26.416378975550128
Ironymos,3.0,5608.666666666667,21.955012392674064
eremeevo,1.0,288.0,24.10763888888889
Lalainee,17.0,4584.823529411765,25.159475013508928
Grandos15,1.0,2729.0,27.676438255771345
amiry,33.0,3456.6363636363635,25.311144642959494
overwhelmingk,1.0,2240.0,25.786160714285714
Ringdalen,2.0,170.0,18.815607256612658
Brazor426,3.0,1454.0,27.682840938585887
led_zepp1zoso,1.0,10274.0,23.076114463694765
doorinthefloor,2.0,5807.0,24.503355739310066
MrCzubaJ,37.0,3024.891891891892,25.42665963061638
biggzipp,8.0,4469.625,21.988819817644444
Lyana_M,5.0,2743.8,26.932516021395475
diherte,1.0,3705.0,27.004318488529016
Cadizhead,3.0,2903.0,26.406468182852546
PhDick,28.0,2387.464285714286,25.023673921433268
DuclercJunior,8.0,2321.5,23.12765757683491
Neofunn,4.0,5282.5,20.919740376392213
Hotubjonny,8.0,6097.125,23.903588530988003
nourmalaeb,25.0,4344.88,24.93089948013608
dmroger,32.0,2457.8125,24.96574466160482
pianinka,1.0,2852.0,25.92671809256662
ileeewo,3.0,888.6666666666666,24.43727963761856
babaVarya,5.0,3118.0,24.712447620512418
spiaal,1.0,1784.0,27.111547085201792
bigshitxxx,21.0,2826.5238095238096,26.38730625517887
lug00ber,23.0,2126.913043478261,24.28909943453372
SleepyBody,10.0,2920.7,26.6077134846068
efervesencia,4.0,7508.0,23.19864759454824
kolotom99,1.0,253.0,19.778656126482215
carolinelahola,1.0,2135.0,24.317564402810305
salemtal,6.0,1668.0,26.826832181249454
Johny24,32.0,2185.03125,23.948619498229064
latassedethe,3.0,7038.0,24.127087670423645
VascoCarvalho90,4.0,6137.75,21.424559030254997
iHyik,1.0,225.0,22.79111111111111
balddenimhero,1.0,836.0,29.642344497607656
gothgeek,14.0,4134.928571428572,24.70229793702958
KatePregioni,1.0,8991.0,21.468802135468803
clashradio1977,21.0,2401.2380952380954,26.021838702218265
amysea376,1.0,6040.0,25.357615894039736
ne2rnas,47.0,3765.063829787234,26.03953771780729
anita_ura,5.0,5434.6,24.004489890198624
AlexZya,41.0,3840.5853658536585,25.29415269598048
FuckinEchoes,43.0,3248.906976744186,26.325389035007362
PaulHaroldSeele,2.0,4835.5,24.98189249673069
arkenthera,2.0,1961.0,27.740028225340897
RoboIsGod,7.0,4754.714285714285,24.454222407491233
ric_scotus,5.0,861.8,23.51189835309676
maximummotion,17.0,4901.176470588235,25.10419912122416
Corillo,22.0,1876.5,27.13300556936332
RigbyP,2.0,4712.5,21.42280483436674
snowywinters,35.0,2996.457142857143,25.56188847253155
IAmCarnation,2.0,5741.5,26.049565667388176
davidlanier,7.0,4587.0,25.396622084060454
iCerDCe,12.0,3123.5833333333335,25.80339091083064
mezcalheads,3.0,2047.6666666666667,25.859175865870057
joannahelena,20.0,2486.4,24.944790283447965
ZoaoZ,23.0,3326.1304347826085,25.387097315855275
DaruJericho,8.0,2493.0,27.906647057440193
bondre,1.0,11031.0,21.42534675006799
Lejmoniada,36.0,2593.3055555555557,24.762943072490085
JanDeal,7.0,3839.0,25.37626023299483
yo-chan90,2.0,1375.0,22.656254932629253
Varitek,20.0,2788.05,25.34736826923601
ghettobrainiac,16.0,3632.9375,25.58510319967989
djhyjak,2.0,971.0,21.549633585828698
nothing_2_gain,10.0,3741.8,25.122440735132212
pepecocaro,1.0,4935.0,25.14468085106383
max_ich,8.0,3340.375,23.896052813474512
andrewjackson,1.0,517.0,29.852998065764023
Lady_in_jazz,10.0,2429.9,26.362877950574102
burkhar,41.0,3331.4634146341464,25.481546435101215
afu-sake,41.0,3073.6341463414633,25.472354969187364
brownskin85,2.0,2266.0,25.107989106254692
Arteeeem,1.0,2524.0,25.497622820919176
Overgrownnn,5.0,4874.2,24.18106227479327
AwesomeDaAlexx,6.0,4369.833333333333,23.404335019914498
Frizbe_doge,5.0,2677.6,24.913002846239564
CitizenZK,1.0,2853.0,27.19768664563617
JadeHavok13,15.0,3769.8,25.080569655982732
inPajamaz,1.0,3917.0,25.21802399795762
richard_ljung,2.0,3100.0,26.048739662849872
FatShades,5.0,5863.2,25.02501270501316
ARWG,1.0,5784.0,22.434895383019196
DelliaStrange,13.0,3808.5384615384614,24.714851790799905
DarthNihilus,3.0,1949.3333333333333,28.167166596429368
Jalkazar,35.0,3833.114285714286,25.391894588293127
luizainreverse,1.0,3641.0,20.410714285714285
devonsego,3.0,5310.0,25.527665514624402
guidedbyvices,34.0,2906.764705882353,26.721006744807497
amph,11.0,2099.090909090909,24.794082214796262
zn28,6.0,1169.3333333333333,21.661215332100568
mrhaste,4.0,3326.0,26.71847953430235
renatoklisman,3.0,1165.3333333333333,19.419598930331997
bagabadaboom,45.0,3130.6,26.211149590445938
stinkalto,2.0,4217.5,26.041020081472723
ParadoxPanda,50.0,3724.36,26.279325563103434
edupotiguar,24.0,4180.125,25.265064304244515
SamVM,22.0,2714.090909090909,26.565731923954992
dextr0us,2.0,5563.0,22.893183269139556
Lunarvore,7.0,5615.142857142857,26.452543806736035
s09,7.0,2424.714285714286,27.332841433835238
a_PinkDream,3.0,9915.0,22.642904132865624
plsleavemealone,5.0,3150.6,25.897287191020542
idiootti,19.0,3969.8947368421054,26.02608213088935
kuvaldin,30.0,2310.633333333333,26.776033572326142
ataneila,1.0,176.0,22.880681818181817
NikkoTheNerd,42.0,3334.4761904761904,25.459206015351917
Thorweil,8.0,2224.625,28.09311678655427
riddenariel,1.0,5784.0,22.434895383019196
renklikalem,28.0,3459.3928571428573,25.74332113502607
Nidhal0135,1.0,5616.0,26.576566951566953
AkelaX,26.0,3429.846153846154,25.182885858421667
CountessAnka,1.0,1340.0,25.93059701492537
Paralectic,9.0,1994.888888888889,21.604305582164606
Fioletavai,16.0,3868.25,26.53969080625696
azzronulation,18.0,2998.3888888888887,24.254683370976597
lottelotteex,1.0,3530.0,24.78158640226629
Kev-the-Reaper,8.0,2049.375,26.82720638080697
Incadenza,26.0,2930.153846153846,25.542788171427187
Sictorment,3.0,6471.666666666667,24.461375125340727
k2thac,9.0,1838.7777777777778,24.52610869472847
Sparc,3.0,968.0,22.494861864828664
thenugster,7.0,5457.571428571428,25.342076320520984
thetuuli,4.0,4186.25,22.216246678513418
RiotDivision,33.0,3299.969696969697,26.14599528093794
Floyt,37.0,2721.054054054054,25.586619143019114
desert_doughnut,23.0,3721.304347826087,25.281993842110797
nunogcm86,5.0,1759.4,25.173124969368565
T71F,46.0,2519.9565217391305,27.191687989008884
NittyL,10.0,5464.5,24.52184879021748
katatsumuri99,6.0,1787.0,25.883484199764315
MaximusNMA,10.0,1443.1,26.189290118858302
anisza,13.0,1483.5384615384614,25.173501151063213
TheDarkOrb,3.0,1954.3333333333333,27.922325023614306
tamara_coutinho,5.0,2889.0,27.057182683638253
undead_bear,2.0,1868.5,26.480493647410682
Day_77,28.0,2877.0714285714284,25.896548767470197
Yacy,3.0,2283.3333333333335,26.92362182696588
Lauroo,1.0,8991.0,21.468802135468803
vebycitra,7.0,5028.142857142857,24.593152426899934
hungoverdrawn,1.0,6040.0,25.357615894039736
schteeve69,1.0,374.0,24.91176470588235
celvins,5.0,4133.2,25.20702215572992
rafciu00,3.0,3885.0,23.609963553000522
Flart90,5.0,2528.4,26.302164206486907
JordanMChand,4.0,5006.0,24.818260368470366
BrokenPiecez,3.0,9487.333333333334,22.107133356790303
giultje_love,8.0,5328.375,24.424715018029946
dcleve11,1.0,224.0,26.580357142857142
chess_master,10.0,3611.1,26.776858634560778
idioticfox14,5.0,3592.4,25.569013210986334
Jockeus,13.0,3701.4615384615386,26.77859348384155
diegofilipe,3.0,6172.333333333333,25.494201397942643
MattyEats,4.0,5372.75,24.688573663115914
Kristofer_N,15.0,4447.6,24.607339538919902
EricaJoy,1.0,800.0,22.075
bigraoul,10.0,3592.6,26.306859861878813
APileOfFlesh,9.0,1981.5555555555557,25.443498294033358
cylindricalcat,2.0,4830.0,25.21635680858634
Bamargera666,16.0,4365.9375,24.01165205054283
jevra555,1.0,3195.0,26.85226917057903
ILLION_91,2.0,1469.5,20.307774965186248
NOHOPEFORHEROES,11.0,2597.181818181818,26.16598393571262
psoumforce,2.0,952.0,27.227448225824066
Elgyn2,46.0,3837.086956521739,26.251662609967674
misiapok,3.0,2234.6666666666665,25.93123025358949
Roll_Mann,36.0,2730.1944444444443,25.80499672915312
bigbobo1,7.0,3779.0,25.806154415569374
Fintelligent,8.0,2553.75,24.48451141731774
Osmosis95,1.0,238.0,24.840336134453782
zac-allan,14.0,3972.285714285714,23.97888445697405
themoff,19.0,4402.263157894737,25.506440659701383
Maeulchen82,13.0,2980.846153846154,27.010504321738217
0xd34df00d,19.0,2358.6315789473683,27.226005255943356
Sanek89,2.0,1976.0,19.82444249023267
uzi_mc,3.0,2506.0,25.105664558729625
The_funky91,10.0,5473.0,24.690452632060666
nilsding,1.0,3917.0,25.21802399795762
Full_of_hornets,7.0,1885.142857142857,26.761024348545885
tiagoaon,1.0,2448.0,26.9281045751634
porraluc,11.0,1833.0,21.871010357863415
HeMont,1.0,3195.0,26.85226917057903
ivps,38.0,3195.5263157894738,27.35145890002714
stuartsarre,5.0,2056.0,23.852363706733353
ja389,2.0,2341.0,26.199167537542372
p3p510,1.0,1153.0,24.801387684301822
hasithajaya96,1.0,774.0,25.29198966408269
deeoo,4.0,2915.0,24.244941331125425
Persson,8.0,3091.875,20.752538708499795
djuro_xl,4.0,3193.0,27.027216709051874
albert0balsalm,1.0,5240.0,25.22977099236641
vonclay,1.0,5784.0,22.434895383019196
WaelDhouib,12.0,4819.0,24.43153186667765
steggo97,8.0,5644.75,23.558830641051827
Combaine,27.0,2869.8888888888887,26.865331269697162
tonic666,2.0,2217.0,27.730820105820108
janours,12.0,4220.083333333333,26.02787992530547
bertyfogs,4.0,2984.75,26.003356461110045
thelunchboxosu,1.0,4037.0,28.587565023532328
Tom--Hanks,5.0,4328.6,23.632327265412073
retsil,34.0,2627.029411764706,25.706217242604552
chaosdimension,8.0,5755.25,24.03128496653521
TheEagleNature,8.0,3840.875,24.731828496332238
nykfist,2.0,4383.5,23.07601091351798
DarkGirL27,4.0,5478.75,26.38725239802558
Alice-Eiler,6.0,2807.6666666666665,25.566527016841547
PaleLights,9.0,2506.4444444444443,24.884200739562797
rockalyrics,2.0,7528.0,24.825344182487413
Mihajlovich_,6.0,2041.8333333333333,27.73743022469655
tjaponte,5.0,1114.0,26.820424206652604
Sixty2,16.0,4208.1875,24.903025002642977
SarahxMxA,27.0,4125.2962962962965,24.410101246910223
lloydw,12.0,4515.333333333333,25.330781461393475
u47033732,23.0,3290.7391304347825,22.713397111024364
MArcos-Thiet,1.0,352.0,21.883522727272727
darkestinsanity,10.0,5366.4,25.341255341610054
brunumd,6.0,4371.833333333333,23.836126258831854
zeffex,6.0,2685.0,24.782391770470152
giberelina,1.0,596.0,18.9748322147651
qYvshin,7.0,3141.4285714285716,24.12407569525224
cyrano_de_gusto,2.0,1610.5,24.719359219326925
Jose_Miguel_S,25.0,3238.32,23.803028710699287
dzee,2.0,4094.0,27.43975621190811
thiagogoedert,1.0,7093.0,21.984350768363175
Stx257,1.0,2238.0,25.560321715817693
ozer_cy,38.0,4128.605263157895,25.707688082912302
luiz-pedone,1.0,1257.0,28.917263325377885
jEANYGenes2,8.0,2203.75,26.061263754340523
ninalucia,8.0,1804.75,23.680390113675504
Zildth,47.0,3408.2127659574467,26.927118128556895
Petahhhh,15.0,3890.266666666667,25.645076060339207
xErath,2.0,1064.5,30.134518820935007
xxxguntherxxx,1.0,782.0,10.847826086956522
revivwI,1.0,596.0,18.9748322147651
yesoos,3.0,4124.0,22.438649155427356
fuz53,16.0,2099.0625,28.14452521870919
evilmoxie,1.0,422.0,14.867298578199053
Boulitoquet,37.0,3098.7297297297296,26.362446143559023
VivaLaVita-V,37.0,3495.027027027027,25.656416753545397
hojyosophy,12.0,2853.4166666666665,23.89554178854178
Worrski,3.0,1185.0,25.74409348367261
Echo-Delta7,2.0,1339.5,30.64467200964503
Joe-Black-,19.0,4298.736842105263,25.934779613072237
starbound,1.0,303.0,14.752475247524753
elciorockers,18.0,3166.3888888888887,26.71670543584331
Metalek83,2.0,2962.0,25.81795458747148
zelenzaek,31.0,2183.4193548387098,27.271291896487813
BigHans1,12.0,5159.5,25.307368640880266
samvtran,2.0,6840.0,24.328511088600266
itjedjuitje,1.0,6040.0,25.357615894039736
vjw,1.0,10274.0,23.076114463694765
Samus27,5.0,4935.0,25.28188367694954
30s,1.0,819.0,23.750915750915752
BenMech,37.0,3830.972972972973,26.375431018284747
Andysan237,2.0,1228.0,24.001493725974655
fffuture,8.0,1184.375,25.78820653660225
Svart-ros,23.0,3208.7391304347825,27.242475163877266
vinigouveia,13.0,3337.076923076923,26.01117265587673
irish_river,2.0,1973.5,24.214476954774113
iatemyself,47.0,2827.6382978723404,26.394840153771828
stereosensitivo,5.0,1482.2,22.992119586289444
Nikitoaster,6.0,1988.0,28.917212449645273
Secone00,7.0,2967.1428571428573,25.262506857678066
Matthew_Melifar,32.0,3609.625,26.276897077588163
Slynt,5.0,2944.0,27.934407442161366
soroushayoubi,2.0,3716.0,24.44055296530253
copilotmacabre,31.0,2991.9032258064517,26.111099704929547
yuri_darko,16.0,3292.75,25.64712089389478
chilibaby,2.0,2095.5,27.77700473810441
MintySweater,38.0,3239.2894736842104,25.902859254352194
ironlemon,6.0,2650.5,27.862973337118422
Madotsuki69,18.0,3012.777777777778,24.535505401940156
cannarymburns,15.0,4364.133333333333,26.03841786512837
marcobertogna,1.0,1799.0,29.45136186770428
Rich__H,1.0,178.0,26.707865168539325
Xefeon,39.0,2947.076923076923,25.3800761242658
frozentruth,26.0,3562.6923076923076,24.53483960071716
OrcaOrkestar,11.0,3903.4545454545455,25.542838451058277
kopnikita,3.0,2727.0,26.62864489688074
RcoelhoJr,8.0,2261.125,27.998328546020424
jadikolaci,2.0,2582.5,27.815992148075274
antsinyourpants,3.0,4183.666666666667,24.182608976180052
Bassvan,8.0,2876.875,24.446110123065175
Nyyckaulhas,38.0,2719.184210526316,26.93408936338394
ormen211,9.0,1059.4444444444443,22.914961547662156
d_moll,12.0,4449.666666666667,25.90067062544801
splithazer,5.0,3056.6,21.22139209137283
XXxRADIOHEADxXX,1.0,1559.0,24.662604233483002
Touch_itt,25.0,4281.56,25.115831254550034
