,r_user_degree,r_avg_pop_choice,r_avg_aud_omni
adiosmatheus,9.0,4277.0,25.466063073217335
octeddy,8.0,3464.714285714286,25.882552681810868
Feetjemeneetje,16.0,4245.5,25.602687027162688
musicphreke,5.0,4147.4,25.48214365924494
sksza,8.0,4164.571428571428,25.374734012690492
areins,10.0,4978.714285714285,25.062274015494626
HeyLuke,1.0,8991.0,22.719120725750173
UrbanFervor,2.0,6969.0,23.87660581742054
mathcore16,40.0,3722.8214285714284,25.690421951520047
lemerafael,8.0,5427.285714285715,24.651823580408696
k_eve,46.0,3030.6315789473683,26.254306808143838
helenazp,1.0,9433.0,22.397634313508732
harunohi,3.0,5833.5,24.56786630308272
RoverTheOctopus,32.0,3122.1153846153848,26.151289587504298
fardot,1.0,3641.0,25.96315468940317
PlasticFuzz,9.0,1880.0,26.59222730599908
PaperNoire,6.0,5030.25,24.883078727276988
MaximusNMA,9.0,3436.8333333333335,25.703534197268734
cehelebe,2.0,3514.0,26.07266836640631
kevohsoon,3.0,7833.666666666667,23.33227534340898
josephmoore,1.0,5240.0,25.001438848920863
pyokatZe,2.0,1696.5,26.862527982527983
MilkaLdz,2.0,4665.5,25.053188911952006
bsummmit,3.0,3143.5,26.471848033384315
prayvolution,7.0,2094.1428571428573,26.458599127723726
Zmeter,6.0,3363.2,25.908938516716212
CrunchyDew,5.0,2040.25,26.668015612395383
AnalogWalrus,5.0,2459.75,26.381501619443917
VioletPhoenix,34.0,3460.4285714285716,25.792179318748882
Falled,47.0,2812.45,26.219733028743132
kyuuby27,4.0,10232.0,21.968055153559778
Hard2X-Plain,2.0,4892.5,26.025020365310517
jimmyviz,5.0,4933.8,24.871770121678445
heartshapedbo_x,4.0,2661.6666666666665,26.140850948476345
unstable_system,5.0,3666.8,26.028427990634402
YukitoKun,3.0,4476.0,25.30599070042428
Very_Metal_Ian,4.0,1096.3333333333333,27.25837703962704
HazelDoubleU,6.0,1862.6666666666667,26.9493658927084
Kosplanov,7.0,1914.1666666666667,26.877267559313633
viitoor,7.0,4242.0,25.36078521171886
Nightbane112,2.0,11031.0,21.538475993610824
chrisnunes69,3.0,6130.5,24.219333246564005
Sykonee,20.0,3449.3333333333335,25.76170600453828
arcticmonkeys-,8.0,3112.0,26.225918060177147
hsieno,1.0,2033.0,26.797169811320753
Lars_ollo,4.0,6307.75,24.33709505498102
MarcHollenbach,30.0,2709.608695652174,26.22880616936738
matheusbep,3.0,3621.0,25.80813930366246
-ism,35.0,3211.2608695652175,26.070029650200407
rmgebhardt,2.0,408.0,26.4375
liiih,6.0,2029.6,26.655002021558193
Pupp3t,48.0,2602.65625,26.28201429000794
Geminijija,7.0,3198.5,25.79868251946767
EndlessDelirium,9.0,4494.555555555556,25.26181596807245
nysos,1.0,537.0,26.49044585987261
0xd34df00d,18.0,4451.785714285715,25.175698352060483
SadAirhorn,13.0,3294.2,25.65523210591299
holdmyhand_,4.0,2540.5,26.534013859900348
shadow89,2.0,6881.0,23.663337430854334
