Code,rep_health,satisfaction,sex,age,edu,gini,ln_abs_inc,ln_rel_inc,ln_gdp_cap,unemp_rate,edu_exp,health_exp,emissions,growth,unemp,retired,married,kids,age2,pos_dummy,neg_dummy
CYP,2.0,1.0,1.0,20.0,6.0,31.1,9.396829089251233,-0.2659635484971379,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,0.0,400.0,1,0
CYP,4.0,1.0,2.0,78.0,2.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,0.0,1.0,6084.0,1,0
CYP,2.0,10.0,2.0,18.0,6.0,31.1,9.396829089251233,-0.2659635484971379,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,1.0,0.0,0.0,0.0,324.0,1,0
CYP,1.0,8.0,2.0,24.0,6.0,31.1,9.92007723301578,0.25728459526741004,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,1.0,0.0,1.0,0.0,576.0,1,0
CYP,3.0,8.0,2.0,51.0,4.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,1.0,2601.0,1,0
CYP,2.0,6.0,1.0,41.0,6.0,31.1,9.022135639809822,-0.6406569979385486,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,1.0,1681.0,1,0
CYP,1.0,1.0,1.0,21.0,6.0,31.1,9.022135639809822,-0.6406569979385486,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,0.0,441.0,1,0
CYP,1.0,10.0,1.0,18.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,0.0,324.0,1,0
CYP,3.0,7.0,2.0,22.0,6.0,31.1,9.396829089251233,-0.2659635484971379,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,0.0,484.0,1,0
CYP,2.0,5.0,1.0,55.0,1.0,31.1,9.92007723301578,0.25728459526741004,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,1.0,3025.0,1,0
CYP,2.0,5.0,2.0,23.0,6.0,31.1,9.396829089251233,-0.2659635484971379,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,1.0,0.0,0.0,0.0,529.0,1,0
